Fetching supported pairs from Indodax...
Found 485 pairs:
Ticker ID       | Description          | Base Currency | Traded Currency
doge2_idr       | DOGE2/IDR            | idr        | doge2     
dogs_idr        | DOGS/IDR             | idr        | dogs      
dot_idr         | DOT/IDR              | idr        | dot       
drx_idr         | DRX/IDR              | idr        | drx       
dupe_idr        | DUPE/IDR             | idr        | dupe      
dusk_idr        | DUSK/IDR             | idr        | dusk      
dvi_idr         | DVI/IDR              | idr        | dvi       
eden_idr        | EDEN/IDR             | idr        | eden      
edena_idr       | EDENA/IDR            | idr        | edena     
efi_idr         | EFI/IDR              | idr        | efi       
egld_idr        | EGLD/IDR             | idr        | egld      
eigen_idr       | EIGEN/IDR            | idr        | eigen     
elf_idr         | ELF/IDR              | idr        | elf       
ena_idr         | ENA/IDR              | idr        | ena       
enj_idr         | ENJ/IDR              | idr        | enj       
ens_idr         | ENS/IDR              | idr        | ens       
eos_idr         | EOS/IDR              | idr        | eos       
ern_idr         | EPIC/IDR             | idr        | ern       
etc_idr         | ETC/IDR              | idr        | etc       
eth_idr         | ETH/IDR              | idr        | eth       
ethfi_idr       | ETHFI/IDR            | idr        | ethfi     
ever_idr        | EVER/IDR             | idr        | ever      
fanc_idr        | FANC/IDR             | idr        | fanc      
fartcoin_idr    | FARTCOIN/IDR         | idr        | fartcoin  
fet_idr         | FET/IDR              | idr        | fet       
ff_idr          | FF/IDR               | idr        | ff        
fil_idr         | FIL/IDR              | idr        | fil       
floki_idr       | FLOKI/IDR            | idr        | floki     
flr_idr         | FLR/IDR              | idr        | flr       
flux_idr        | FLUX/IDR             | idr        | flux      
fuel_idr        | FUEL/IDR             | idr        | fuel      
fun_idr         | FUN/IDR              | idr        | fun       
fwog_idr        | FWOG/IDR             | idr        | fwog      
fxs_idr         | FXS/IDR              | idr        | fxs       
galagames_idr   | GALA/IDR             | idr        | galagames 
game2_idr       | GAME/IDR             | idr        | game2     
gict_idr        | GICT/IDR             | idr        | gict      
gid_idr         | GIDR/IDR             | idr        | gid       
giga_idr        | GIGA/IDR             | idr        | giga      
glch_idr        | GLCH/IDR             | idr        | glch      
glm_idr         | GLM/IDR              | idr        | glm       
gmt_idr         | GMT/IDR              | idr        | gmt       
gmmt_idr        | GMMT/IDR             | idr        | gmmt      
gmx_idr         | GMX/IDR              | idr        | gmx       
gno_idr         | GNO/IDR              | idr        | gno       
goat_idr        | GOAT/IDR             | idr        | goat      
grass_idr       | GRASS/IDR            | idr        | grass     
gravity_idr     | G/IDR                | idr        | gravity   
griffain_idr    | GRIFFAIN/IDR         | idr        | griffain  
grt_idr         | GRT/IDR              | idr        | grt       
gtc_idr         | GTC/IDR              | idr        | gtc       
gxc_idr         | GXC/IDR              | idr        | gxc       
